Language,GitURL,GitRef,BuildTool,BuildStatus,ErrorMessage
java,https://github.com/iluwatar/java-design-patterns,163c3017bb356937d876cd9a05905c012f3b0af6,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/netty/netty,7dba4fcf499425914e09993d1f2bd439794cb3d6,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/alibaba/easyexcel,c299e2333053f307e73c94d85b4e3b3d81328885,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/ityouknow/spring-boot-examples,53c8c8d6d0b957e9d4ae02f99d5993d5e699d522,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/dromara/hutool,d296e27fbbfd49a22bdcd665bf4f99a8626a912a,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/crossoverJie/JCSprout,138bf674028a5e14584d94576cbacb97cbdf56de,maven,fail,Command 'mvn clean install' timed out after 1799.999985565053 seconds
java,https://github.com/alibaba/spring-cloud-alibaba,6843cb06da903c39527705e07c16a0e17a06e873,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/proxyee-down-org/proxyee-down,378f353e130b48095608409494f9d2698ff1ea4d,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/seata/seata,2122c6d53ae9cabcab4c53946b4a1b999e0aef76,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/bazelbuild/bazel,e0c987f06aa3b7a6d3ff27cdec52f34a7d6e2875,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/macrozheng/mall,3a63e174671f27f49074203ceffcd571c457d64e,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/TheAlgorithms/Java,1518e84fb961f988b35ef402ec25a6576879c7ff,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/google/guava,5b851dbb6745f836a2ce5857fc1550a29c88f96c,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/dubbo,e63d275eb61db8eaac00f7474e6e76e19ac805d0,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/PhilJay/MPAndroidChart,0550d3f7907c635744c08ad8ff9c45e1b6281cc7,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/dbeaver/dbeaver,84d746726c3f50ca11a301df523a6af0d9beddf0,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/alibaba/arthas,9a370d9d8a2e52bbd226c1246021f1ab23ee802b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/zxing/zxing,9c89873cfa148e961da3b0a1f9537fd9b5356564,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/xkcoding/spring-boot-demo,87a142f9604c1a5365b4d24d22c2c11c26a9d5ab,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/SeleniumHQ/selenium,36585d189b2e9f2ced136a7e6c456ffe53604141,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
