Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode
python,https://github.com/cilidada/openit,d63a175af228e22ff5305a28385f6b627451741e,pip,pass,631,162616
python,https://github.com/rcy1314/TGTOP,60bea8f83a2ecc8e65ba543fc087c44cf37fecfe,pip,pass,627,162225
python,https://github.com/Aspragas/Slider,193a15b15260702209b64df09af8af656870a69e,pip,pass,633,162160
python,https://github.com/lowQuant/ArrivalsInSouthKorea,c579435d13c2851fb9510aa0da004fed7ea6fe4b,pip,pass,623,162124
python,https://github.com/Timbulimbu/Generic-Api-Project,b12428690989544fb1756613a9ed05785f96d284,pip,pass,635,162217
python,https://github.com/eUgEntOptIc44/dwd-mosmix-stations,793857fcf2c6dd050cb8311272e472fef20ec42f,pip,pass,623,162080
python,https://github.com/aitomatic/openssa,3d26fce55dfda2e44252714e5a82f07c414406bd,pip,pass,697,166037
python,https://github.com/deadnote0009/Ultroidbot,c04d574edb8dab20c049f3af44fe4f05194fc2a2,pip,pass,781,184385
python,https://github.com/openstack/charm-mysql-router,17595788edd80580624b03a664dd5cdb05bba47f,pip,pass,629,163444
python,https://github.com/Hilmy224/shopping-list,a12b2180c78bc2a8a0f055a3298b1c38d6fa25f6,pip,pass,640,162389
python,https://github.com/nabiilahputri13/shopping-list,f887cd3a725cd0cee3a0e4882fd23f317867aa28,pip,pass,641,162347
python,https://github.com/brainupgrade-in/configmap,b63918023446711c66e3918d3a95e3abb1676475,pip,pass,623,162091
python,https://github.com/minkoro21/bot,c9b204555241f895dc5d1d455b2b92214d860cf4,pip,pass,623,162056
python,https://github.com/aiidateam/aiida-optimade,b21e6bc52a390b4546b39353dac9f55a80b0e5c7,pip,pass,681,167087
python,https://github.com/hatefr/chatbot,728a26a61fd588d686fb32b82df762906fd77ebb,pip,pass,627,162252
python,https://github.com/YUANTTX/seqmofo,60694a0473a220241675a0f19d3fc0a716d2bbc0,pip,pass,632,162164
python,https://github.com/RomeoXXIV/FirstDjangoProject,ec0ca6f04139f1ed0ea2f804cb12066168a3721d,pip,pass,627,162124
python,https://github.com/huttadam/CodAcaRepo2023-24,b5dc28baa617301d7dd693b4bf01dc7f5737abb9,pip,pass,631,162134
python,https://github.com/Yihengxiong6/sphinx_api_sidebar,01b91c618a5b443d5326d6e2e6d9777957d6cdcf,pip,pass,626,162109
python,https://github.com/gimezi/Project_ssafy,c51f191d6302f579763751259d92c1fa6d12061b,pip,pass,641,162340
python,https://github.com/divieurora/shopping_list,5510fff1d3028560c6fb1cfaffc3aeaec6c1286e,pip,pass,641,162401
python,https://github.com/NuChraee/shopping_list,3585951676f8a8109d3572f88801a2964a9f869a,pip,pass,641,162418
python,https://github.com/indiraarh/shopping_list,617f00860d2cb09b1c5b55d5733279df2fa22b4d,pip,pass,641,162359
python,https://github.com/SresthArora/LMS,d746d7177986d55f154b5315cc78e536c1d00560,pip,pass,1966,432702
python,https://github.com/AIOps-Lab-NKU/PSqueeze,7615704383b41d5d1e42f621da3ef0cedaf406f0,pip,pass,659,165771
python,https://github.com/tjdharani/LLM-Apps,f399a64856b4ec20b8bccee1fdb83b7cc649d60e,pip,pass,625,162176
python,https://github.com/JunfeiYi/PSTL-Net,7047ad3744b4908a07d192b8b7376ea711bea4b2,pip,pass,1692,242061
python,https://github.com/devanops77/bike,dac05bdbaa8cd57534d714a3fd06d4685208d46e,pip,pass,629,162248
python,https://github.com/tom1299/open-ai-test,778ede526a86d64730360d57d548f7850c67be6b,pip,pass,637,162637
python,https://github.com/ThomasDepresle/mon-nouveau-blog,ed48523e6262252fcf45cf7f7b239169466daed5,pip,pass,637,162291
python,https://github.com/cliffordkleinsr/DE-SRFREN,812e47b702a5e3a5e5d740937fcc7aaa52c7bb02,pip,pass,690,170398
